"id","location_name","latitude","longitude","preferred_wind_dir_min","preferred_wind_dir_max","preferred_swell_dir_min","preferred_swell_dir_max","bad_swell_dir_min","bad_swell_dir_max","wavecalc","region","reef"
238,"Baja Malibu",32.415937,-117.098174,50,70,,,,,1.37,"WestCoast",FALSE
434,"Hana Bay",20.759055,-155.98175,240,320,45,130,170,30,1.38,"Maui",TRUE
118,"Oxnard",34.174314,-119.239817,30,110,,,320,90,1.34,"WestCoast",FALSE
250,"Calafia",32.266643,-117.01856,330,50,170,240,345,90,0.62,"WestCoast",FALSE
273,"3Ms",31.877028,-116.688175,50,100,215,305,330,90,2.35,"WestCoast",FALSE
274,"Stacks",31.86954,-116.679793,50,100,215,305,330,90,1.66,"WestCoast",FALSE
275,"Todos Santos",31.808971,-116.807795,60,110,250,300,330,90,0.45,"WestCoast",FALSE
372,"Barra Vieja",16.686053,-99.627502,5,55,130,230,280,110,0.53,"WestCoast",FALSE
277,"Light House",31.462509,-116.589201,300,340,150,230,305,90,1.18,"WestCoast",FALSE
278,"Punta Cabras",31.328248,-116.455489,50,100,,,,,1.16,"WestCoast",FALSE
280,"4 Casas",30.85574,-116.171328,20,70,,,,,1.2,"WestCoast",FALSE
284,"San Carlos",29.610031,-115.497589,5,55,150,280,330,90,1.15,"WestCoast",FALSE
294,"Punta Rosarito",28.570171,-114.163843,100,140,,,,,1.45,"WestCoast",FALSE
306,"Cerritos",23.328318,-110.177504,320,65,,,330,90,1.68,"WestCoast",FALSE
308,"Monuments",22.895806,-109.868477,10,60,,,280,90,1.6,"WestCoast",FALSE
310,"Acapulquito",23.023495,-109.715404,70,130,100,200,230,90,1.2,"WestCoast",FALSE
311,"La Roca",23.024937,-109.714396,260,320,100,200,230,90,1.1,"WestCoast",FALSE
312,"Zippers",23.028782,-109.713854,340,40,130,180,200,90,1.2,"WestCoast",FALSE
314,"Shipwrecks",23.119943,-109.526811,340,40,130,180,200,90,1,"WestCoast",FALSE
316,"Nine Palms",23.17404,-109.476586,290,350,110,200,230,90,1,"WestCoast",FALSE
330,"Los Pinos",23.208968,-106.42909,100,160,195,245,300,90,1,"WestCoast",FALSE
374,"Carrizalillo",15.858938,-97.07944,15,65,160,230,280,110,0.6,"WestCoast",FALSE
375,"Puerto",15.848837,-97.058131,50,110,200,250,320,110,0.49,"WestCoast",FALSE
376,"La Punta",15.830793,-97.047315,100,150,170,240,320,145,0.62,"WestCoast",FALSE
378,"Zipolite",15.661213,-96.51904,340,40,,,280,100,0.7,"WestCoast",FALSE
324,"Rucos",23.436178,-106.579531,25,75,170,250,310,90,1,"WestCoast",FALSE
331,"La Piedra",23.181676,-106.399664,15,65,150,210,260,90,1.5,"WestCoast",FALSE
347,"Punta Burros",20.751016,-105.454072,0,50,205,245,290,90,1.65,"WestCoast",FALSE
349,"Tenacatita",19.289548,-104.855811,340,70,150,225,270,90,0.7,"WestCoast",FALSE
352,"Manzanillo",19.117554,-104.367049,350,40,165,210,250,90,0.9,"WestCoast",FALSE
380,"San Agustin",15.683821,-96.245792,335,35,,,280,110,0.97,"WestCoast",FALSE
382,"El Mojon",15.806113,-96.006255,310,10,110,210,240,80,0.65,"WestCoast",FALSE
384,"La Barra",15.82108,-95.96484,280,340,140,200,240,70,0.5,"WestCoast",FALSE
386,"Chipehua",16.037503,-95.375054,225,285,140,200,230,80,0.57,"WestCoast",FALSE
388,"Chivo",16.110053,-95.276656,250,310,140,200,230,80,0.88,"WestCoast",FALSE
390,"Salina Cruz",16.13698,-95.246868,210,300,120,200,230,80,0.75,"WestCoast",FALSE
46,"Four Mile",36.964932,-122.124943,250,75,150,240,320,90,1.18,"WestCoast",FALSE
506,"Black Point",21.113785,-157.739233,340,60,115,250,300,70,1.9,"Oahu",FALSE
436,"Perouse Bay",20.590686,-156.414735,25,105,160,245,280,130,5,"Maui",TRUE
232,"Ocean Beach",32.763996,-117.26694,330,140,210,310,330,90,1.27,"WestCoast",FALSE
166,"HB Pier North",33.654771,-118.006915,5,85,158,199,350,90,1.02,"WestCoast",FALSE
158,"Seal Jetty",33.738817,-118.113635,330,50,200,255,290,90,1.07,"WestCoast",FALSE
122,"County Line",34.050536,-118.962325,5,85,150,230,290,90,0.82,"WestCoast",FALSE
482,"Pohakuloa",20.929922,-156.995997,145,205,50,80,85,270,2.9,"Lanai",TRUE
441,"The Cove",20.727902,-156.451735,359,80,185,240,330,170,1.05,"Maui",FALSE
437,"Dumps",20.612308,-156.437565,75,155,195,240,330,170,4.8,"Maui",TRUE
37,"Wadell Creek",37.093246,-122.287327,20,100,170,264,350,90,1.1,"WestCoast",FALSE
181,"Brooks St.",33.531495,-117.778337,15,95,180,230,325,90,1.45,"WestCoast",FALSE
178,"Crystal Cove",33.557875,-117.821601,5,120,190,235,320,90,1.5,"WestCoast",FALSE
234,"Coronado",32.763996,-117.26694,359,80,160,230,280,90,2,"WestCoast",FALSE
52,"Steamer Lane",36.950311,-122.023602,285,50,280,325,326,90,1.25,"WestCoast",FALSE
484,"Lopa",20.802556,-156.806707,280,340,155,190,220,20,2.05,"Lanai",FALSE
416,"Pinetrees",19.695212,-156.046431,50,110,190,320,0,160,1.55,"Hawaii",TRUE
439,"Little Beach",20.634524,-156.452177,40,120,195,240,330,170,4.6,"Maui",FALSE
532,"Ewa",21.106353,-158.005451,320,20,160,260,310,110,7.2,"Oahu",FALSE
442,"Ma'alaea",20.786007,-156.51465,260,20,150,180,270,130,1.4,"Maui",FALSE
500,"Popoia",21.400539,-157.718024,180,260,1,110,140,325,1.9,"Oahu",TRUE
170,"River Jetties",33.625937,-117.960014,350,70,158,199,350,90,1.14,"WestCoast",FALSE
502,"Makapu'u",21.311732,-157.658433,185,265,345,85,130,335,1.42,"Oahu",TRUE
480,"Manele Bay",20.735764,-156.893746,20,80,175,250,270,90,2.2,"Lanai",FALSE
504,"Sandy Beach",21.108283,-157.65252,290,10,125,240,270,45,1.7,"Oahu",FALSE
180,"Thalia St.",33.534455,-117.780863,20,100,180,230,325,90,1.46,"WestCoast",FALSE
36,"Pescadero",37.273692,-122.411419,65,145,,,,,0.92,"WestCoast",FALSE
120,"Silver Strand",34.149588,-119.225207,15,95,260,210,320,90,1.29,"WestCoast",FALSE
536,"Ma'ili",21.415915,-158.184621,60,140,,,350,125,2.6,"Oahu",FALSE
174,"Blackies",33.608097,-117.93084,25,85,225,275,355,90,1.1,"WestCoast",FALSE
130,"Malibu Third",34.029977,-118.682013,310,30,170,250,310,90,1.83,"WestCoast",FALSE
404,"Honoli'i",19.755312,-155.090357,240,300,20,120,160,330,1,"Hawaii",TRUE
240,"Rosarito",32.348275,-117.06713,60,120,,,,,1.28,"WestCoast",FALSE
516,"Waikiki",21.110375,-157.861132,55,115,160,260,310,110,3.13,"Oahu",FALSE
264,"Halfway House",32.17517,-116.908126,55,115,,,,,1.2,"WestCoast",FALSE
266,"La Fonda",32.117721,-116.88652,55,115,,,,,1.32,"WestCoast",FALSE
268,"La Salina",32.05666,-116.884037,60,120,,,,,1.8,"WestCoast",FALSE
